ID,UQNO,Q12Gender,Q13Age,Q14Population,Q15Mothaliv,Q16Mothparthh,Q17Fathaliv,Q18Fathparthh,Q19G_Parparthh,Q22Attend,Q23Eduinst,Q24AGE_GR1,Q25Miss_Day,Q26Miss_Rsn,Q27Daysabsent,Q28Everattend,Q29Whynot,Q210Age_Gr1,Q211Ageleft,Q212Whyleft,Q51AFARMWRK_W,Q51ATIME,Q51BFETCHWATER_W,Q51BTIME,Q51CFETCHWOOD_W,Q51CTIME,Q51DPRODHHGDS_W,Q51DTIME,Q51ECONSTRUC_W,Q51ETIME,Q51FCATCHFOOD_W,Q51FTIME,Q52ABEG_LSTW,Q52BBEG_LSTYR,Q53AFARMWRK_Y,Q53BFETCHWATER_Y,Q53CFETCHWOOD_Y,Q53DPRODHHGDS_Y,Q53ECONSTRUC_Y,Q53FCATCHFOOD_Y,Q54TIME,Q71ACOOK,Q71BCLEAN,Q71CLAUNDRY,Q71DCHILDMIND,Q71EMAINTENANCE,Q71FSHOP,Q71GOTHR,Q72TIME,Q73ATTEND,Q741AFTERSCH,Q742BEFORESCH,Q743WEEKEND,Q75ACLEAN,Q75BMAINTENANCE,Q75CGARDEN,Q75DMARK,Q75EHOUSE,Q75FOTHR,Q76TIME,Q77ADIF_CTCHUP,Q77BNOTIME,Q77CCONCENTRATE,Q77DPUNCTUAL,Q77ELEISURE,Q78ASUBCODE,Q78BSUBCODE,Child_Labour
0,299114180000001401,Female,15,African/Black,Yes,Yes,Yes,Yes,No,Yes,Primary or secondary school,6.0,No,,0 days,,,,,,No,,No,,No,,No,,No,,No,,No,No,No,No,No,No,No,No,VALUE TO COMPUTE,Yes,Yes,No,No,No,Yes,No,VALUE TO COMPUTE,Yes,Yes,No,Yes,No,No,No,Yes,No,No,0.0,No,No,No,No,No,Accounting,IsiXhosa Home Language,0
1,464100370000008101,Female,16,African/Black,Yes,Yes,Yes,No,Yes,Yes,Primary or secondary school,7.0,No,,0 days,,,,,,No,,No,,No,,No,,No,,No,,No,No,No,No,No,No,No,No,VALUE TO COMPUTE,No,Yes,Yes,Yes,No,No,No,VALUE TO COMPUTE,Yes,No,Yes,Yes,No,No,No,No,No,No,,No,No,No,No,No,Accounting,Mathematics,0
2,526100710000036001,Female,11,African/Black,Yes,Yes,Yes,Yes,No,Yes,Primary or secondary school,6.0,Yes,"Other, specify",1 to 4 days,,,,,,No,,Yes,0.0,No,,No,,No,,No,,No,No,No,Yes,No,No,No,No,VALUE TO COMPUTE,Yes,Yes,Yes,No,No,Yes,No,VALUE TO COMPUTE,Yes,Yes,No,Yes,No,No,No,No,No,No,,No,No,No,No,No,Mathematics,IsiZulu Home Language,0
3,524105720000010301,Male,12,African/Black,Yes,Yes,Yes,No,Yes,Yes,Primary or secondary school,6.0,No,,0 days,,,,,,Yes,1.0,Yes,0.0,No,,No,,No,,No,,No,No,Yes,Yes,No,No,No,No,VALUE TO COMPUTE,Yes,Yes,No,No,No,Yes,No,VALUE TO COMPUTE,Yes,Yes,No,Yes,No,No,No,No,No,No,,No,No,No,No,No,Social Sciences,Mathematics,0
4,799131050000010201,Male,9,African/Black,Yes,Yes,Yes,No,Yes,Yes,Primary or secondary school,6.0,No,,0 days,,,,,,No,,No,,No,,No,,No,,No,,No,No,No,No,No,No,No,No,VALUE TO COMPUTE,No,Yes,No,No,No,No,No,VALUE TO COMPUTE,Yes,No,No,Yes,No,No,No,No,No,No,,No,No,No,No,No,Mathematics,IsiZulu Home Language,0
5,538102900000044301,Male,7,African/Black,Yes,Yes,Yes,No,No,Yes,Primary or secondary school,7.0,No,,0 days,,,,,,No,,No,,No,,No,,No,,No,,No,No,No,No,No,No,No,No,VALUE TO COMPUTE,No,No,No,No,No,Yes,No,VALUE TO COMPUTE,Yes,Yes,No,Yes,No,No,No,No,No,No,,No,No,No,No,No,English First Additional Language,IsiZulu Home Language,0
6,295102730000003001,Female,16,African/Black,Yes,Yes,Yes,No,No,Yes,Primary or secondary school,7.0,No,,1 to 4 days,,,,,,No,,Yes,1.0,No,,No,,No,,No,,No,No,No,Yes,No,No,No,No,VALUE TO COMPUTE,Yes,Yes,Yes,Yes,No,Yes,No,VALUE TO COMPUTE,Yes,Yes,No,Yes,No,No,No,No,No,No,,No,No,No,No,No,Social Sciences,Geography,0
7,798106040000003101,Male,16,African/Black,Yes,No,Yes,Yes,No,Yes,Primary or secondary school,5.0,No,,0 days,,,,,,No,,No,,No,,No,,No,,No,,No,No,No,No,No,No,No,No,VALUE TO COMPUTE,No,No,No,No,No,Yes,No,VALUE TO COMPUTE,Yes,No,No,Yes,No,No,No,No,No,No,,No,No,No,No,No,History,English First Additional Language,0
8,378101230000010001,Female,13,African/Black,Yes,Yes,Yes,No,Yes,Yes,Primary or secondary school,7.0,No,,1 to 4 days,,,,,,No,,No,,No,,No,,No,,No,,No,No,No,No,No,No,No,No,VALUE TO COMPUTE,No,No,No,Yes,No,Yes,No,VALUE TO COMPUTE,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,1.0,No,No,No,No,No,Afrikaans First Additional Language,English First Additional Language,0
9,472102870000025701,Female,7,African/Black,Yes,Yes,Yes,Yes,No,Yes,Primary or secondary school,6.0,No,,0 days,,,,,,No,,No,,No,,No,,No,,No,,No,No,No,No,No,No,No,No,VALUE TO COMPUTE,No,No,No,No,No,No,No,VALUE TO COMPUTE,Yes,No,No,No,No,No,No,No,No,No,,No,No,No,No,No,Mathematics,Life Skills,0
10,764102220000001601,Female,15,African/Black,Yes,Yes,Yes,No,No,Yes,Primary or secondary school,6.0,No,,0 days,,,,,,No,,No,,No,,No,,No,,No,,No,No,No,No,No,No,No,No,VALUE TO COMPUTE,Yes,No,No,No,No,Yes,No,VALUE TO COMPUTE,Yes,Yes,No,Yes,No,No,No,No,No,No,,Yes,Yes,Yes,Yes,Yes,Afrikaans First Additional Language,Economic Management Sciences,0
11,799112850000001801,Female,11,African/Black,Yes,Yes,Yes,No,Yes,Yes,Primary or secondary school,6.0,No,,1 to 4 days,,,,,,No,,No,,No,,No,,No,,No,,No,No,No,No,No,No,No,No,VALUE TO COMPUTE,Yes,Yes,No,Yes,No,No,No,VALUE TO COMPUTE,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,1.0,No,No,No,No,No,Sepedi Home Language,English First Additional Language,0
12,260112870000012501,Male,9,African/Black,Yes,Yes,Yes,No,No,Yes,Primary or secondary school,6.0,Yes,Illness   ,1 to 4 days,,,,,,No,,No,,No,,No,,No,,No,,No,No,No,No,No,No,No,No,VALUE TO COMPUTE,No,Yes,No,No,No,No,No,VALUE TO COMPUTE,Yes,Yes,No,Yes,No,No,No,No,No,No,,No,No,No,No,No,Social Sciences,Mathematics,0
13,499107380000018901,Female,14,African/Black,Yes,Yes,Yes,No,No,Yes,Primary or secondary school,7.0,No,,1 to 4 days,,,,,,No,,No,,No,,No,,No,,No,,No,No,No,No,No,No,No,No,VALUE TO COMPUTE,No,No,Yes,No,No,Yes,No,VALUE TO COMPUTE,Yes,Yes,No,Yes,No,No,No,No,No,No,,No,No,Yes,No,No,Mathematics,Sesotho Home Language,0
14,166102760000025801,Female,5,Coloured,Yes,Yes,Yes,No,Yes,Yes,"Pre-school (including day care, crèche, pre-primary, ECD centre)",,No,,1 to 4 days,,,,,,No,,No,,No,,No,,No,,No,,No,No,No,No,No,No,No,No,VALUE TO COMPUTE,No,No,No,No,No,No,No,VALUE TO COMPUTE,Yes,No,No,No,No,No,No,No,No,No,,No,No,No,No,No,Other,Arts & Culture,0
15,271108510000006201,Female,12,African/Black,Yes,Yes,Yes,No,Yes,Yes,Primary or secondary school,7.0,No,,0 days,,,,,,No,,Yes,2.0,No,,No,,No,,No,,No,No,No,Yes,No,No,No,No,VALUE TO COMPUTE,Yes,Yes,No,No,No,Yes,No,VALUE TO COMPUTE,Yes,No,No,Yes,Yes,No,No,No,No,No,1.0,No,No,No,No,No,Life Skills,IsiXhosa Home Language,0
16,797101730000025801,Male,16,African/Black,Yes,No,Yes,Yes,Yes,Yes,Primary or secondary school,7.0,Yes,Illness   ,1 to 4 days,,,,,,No,,No,,No,,No,,No,,No,,No,No,No,No,No,No,No,No,VALUE TO COMPUTE,No,Yes,Yes,No,No,Yes,No,VALUE TO COMPUTE,Yes,Yes,No,Yes,No,No,No,No,No,No,,No,No,No,No,No,Arts & Culture,Mathematics,0
17,797137450000011901,Female,11,African/Black,Yes,Yes,Yes,No,Yes,Yes,Primary or secondary school,6.0,No,,1 to 4 days,,,,,,No,,No,,No,,No,,No,,No,,No,No,No,No,No,No,No,No,VALUE TO COMPUTE,Yes,No,No,No,No,Yes,No,VALUE TO COMPUTE,Yes,Yes,No,Yes,Yes,No,No,No,No,No,1.0,No,No,No,No,No,English First Additional Language,Life Skills,0
18,299115290000008201,Male,11,African/Black,Yes,Yes,Yes,No,No,Yes,Primary or secondary school,7.0,Yes,Illness   ,1 to 4 days,,,,,,No,,No,,No,,No,,No,,No,,No,No,No,No,No,No,No,No,VALUE TO COMPUTE,No,Yes,No,No,No,Yes,No,VALUE TO COMPUTE,Yes,No,No,Yes,No,No,Yes,No,Yes,No,1.0,No,No,No,No,Yes,Natural Sciences,English First Additional Language,0
19,871100370000001701,Female,5,African/Black,Yes,Yes,Yes,Yes,No,Yes,"Pre-school (including day care, crèche, pre-primary, ECD centre)",,No,,1 to 4 days,,,,,,No,,No,,No,,No,,No,,No,,No,No,No,No,No,No,No,No,VALUE TO COMPUTE,No,No,No,No,No,Yes,No,VALUE TO COMPUTE,Yes,Yes,No,Yes,No,No,No,No,No,No,,No,No,No,No,No,Mathematics,English First Additional Language,0
20,361101260000010501,Male,14,African/Black,Yes,No,Yes,No,No,Yes,Primary or secondary school,6.0,No,,0 days,,,,,,No,,Yes,0.0,No,,No,,No,,No,,No,No,No,Yes,No,No,No,No,VALUE TO COMPUTE,No,No,No,No,No,No,No,VALUE TO COMPUTE,Yes,No,No,No,No,No,No,No,No,No,,No,No,No,Yes,No,Mathematical Literacy,Life Orientation,0
21,986100890000010401,Female,13,African/Black,Yes,Yes,Yes,No,Yes,Yes,Primary or secondary school,6.0,Yes,Illness   ,1 to 4 days,,,,,,No,,Yes,1.0,Yes,1.0,No,,No,,No,,No,No,No,Yes,Yes,No,No,No,VALUE TO COMPUTE,Yes,Yes,Yes,No,No,Yes,No,VALUE TO COMPUTE,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,No,1.0,No,No,No,No,No,Mathematics,Sepedi Home Language,0
22,871100340000004701,Male,14,African/Black,Yes,Yes,Yes,Yes,No,Yes,Primary or secondary school,6.0,No,,1 to 4 days,,,,,,No,,Yes,1.0,No,,No,,No,,No,,No,No,No,Yes,No,No,No,No,VALUE TO COMPUTE,Yes,No,No,No,No,No,No,VALUE TO COMPUTE,Yes,Yes,No,No,Yes,No,No,No,No,No,1.0,No,No,No,No,No,English First Additional Language,IsiZulu Home Language,0
23,797149470000010501,Male,8,African/Black,Yes,Yes,Yes,Yes,No,Yes,Primary or secondary school,6.0,Yes,Injury,10 to 19 days,,,,,,No,,No,,No,,No,,No,,No,,No,No,No,No,No,No,No,No,VALUE TO COMPUTE,Yes,Yes,No,Yes,No,Yes,No,VALUE TO COMPUTE,Yes,Yes,No,Yes,No,No,No,No,No,No,,No,No,No,No,No,Life Skills,English First Additional Language,0
24,987100960000001401,Male,9,African/Black,Yes,Yes,Yes,Yes,Yes,Yes,Primary or secondary school,7.0,No,,1 to 4 days,,,,,,No,,No,,No,,No,,No,,No,,No,No,No,No,No,No,No,No,VALUE TO COMPUTE,Yes,No,No,No,No,No,No,VALUE TO COMPUTE,Yes,No,No,Yes,Yes,No,No,No,No,No,1.0,Yes,No,No,No,No,English First Additional Language,Arts & Culture,0
25,797144310000003301,Male,9,African/Black,Yes,Yes,Yes,Yes,No,Yes,Primary or secondary school,7.0,No,,0 days,,,,,,No,,No,,No,,No,,No,,No,,No,No,No,No,No,No,No,No,VALUE TO COMPUTE,No,No,No,No,No,No,No,VALUE TO COMPUTE,Yes,No,No,No,No,No,No,No,No,No,,No,No,No,No,No,Mathematics,English First Additional Language,0
26,199125350000013501,Male,7,Coloured,Yes,No,Yes,No,Yes,Yes,Primary or secondary school,6.0,No,,0 days,,,,,,No,,No,,No,,No,,No,,No,,No,No,No,No,No,No,No,No,VALUE TO COMPUTE,No,No,No,No,No,No,No,VALUE TO COMPUTE,Yes,No,No,No,No,No,No,No,No,No,,No,No,No,No,No,Mathematics,English First Additional Language,0
27,588100560000027801,Male,10,African/Black,Yes,Yes,Yes,Yes,No,Yes,Primary or secondary school,6.0,No,,0 days,,,,,,No,,No,,No,,No,,No,,No,,No,No,No,No,No,No,No,No,VALUE TO COMPUTE,Yes,Yes,Yes,No,No,No,No,VALUE TO COMPUTE,Yes,Yes,No,Yes,No,No,No,No,No,No,,No,No,No,No,No,IsiZulu Home Language,Social Sciences,0
28,677101210000007201,Female,17,African/Black,Yes,Yes,Yes,Yes,Yes,Yes,Primary or secondary school,7.0,No,,0 days,,,,,,No,,No,,No,,No,,No,,No,,No,No,No,No,No,No,No,No,VALUE TO COMPUTE,No,Yes,Yes,No,No,Yes,No,VALUE TO COMPUTE,Yes,Yes,No,Yes,Yes,No,No,No,No,No,0.0,No,No,No,No,No,English First Additional Language,Mathematics,0
29,982105430000013601,Male,5,African/Black,Yes,Yes,Yes,No,No,Yes,"Pre-school (including day care, crèche, pre-primary, ECD centre)",,No,,0 days,,,,,,No,,No,,No,,No,,No,,No,,No,No,No,No,No,No,No,No,VALUE TO COMPUTE,No,No,No,No,No,No,No,VALUE TO COMPUTE,Yes,No,No,No,No,No,No,No,No,No,,No,No,No,No,No,English First Additional Language,Mathematics,0
30,504100580000008101,Male,13,African/Black,Yes,Yes,Yes,No,Yes,Yes,Primary or secondary school,5.0,No,,1 to 4 days,,,,,,No,,No,,No,,No,,No,,No,,No,No,Yes,Yes,Yes,No,No,Yes,VALUE TO COMPUTE,Yes,Yes,Yes,No,No,Yes,No,VALUE TO COMPUTE,Yes,Yes,No,Yes,Yes,No,No,Yes,No,No,2.0,No,No,No,No,No,IsiZulu Home Language,Social Sciences,1
31,799140540000005001,Female,14,African/Black,Yes,No,No,,No,Yes,Primary or secondary school,6.0,No,,1 to 4 days,,,,,,No,,No,,No,,No,,No,,No,,No,No,No,No,No,No,No,No,VALUE TO COMPUTE,Yes,Yes,Yes,No,No,Yes,No,VALUE TO COMPUTE,Yes,No,No,Yes,No,No,No,No,No,No,,Yes,No,No,No,No,History,Economic Management Sciences,0
32,797131790000005601,Male,13,African/Black,Yes,Yes,Yes,Yes,No,Yes,Primary or secondary school,6.0,No,,1 to 4 days,,,,,,No,,No,,No,,No,,No,,No,,No,No,No,No,No,No,No,No,VALUE TO COMPUTE,No,Yes,No,No,No,No,No,VALUE TO COMPUTE,Yes,Yes,No,Yes,No,No,No,No,No,No,,No,No,No,No,No,Life Orientation,Mathematics,0
33,592103620180001201,Male,16,African/Black,Yes,Yes,No,,Yes,Yes,Primary or secondary school,5.0,Yes,Illness   ,1 to 4 days,,,,,,No,,Yes,0.0,No,,No,,No,,No,,No,No,Yes,Yes,No,No,No,No,VALUE TO COMPUTE,Yes,Yes,Yes,No,No,Yes,No,VALUE TO COMPUTE,Yes,Yes,No,Yes,Yes,No,No,No,No,No,0.0,No,No,No,No,No,English First Additional Language,Mathematics,0
34,199138610000022101,Female,5,Coloured,Yes,Yes,Yes,Yes,No,No,,,,,,No,Too old/young,,,,No,,No,,No,,No,,No,,No,,No,No,No,No,No,No,No,No,VALUE TO COMPUTE,No,No,No,No,No,No,No,VALUE TO COMPUTE,No,,,,,,,,,,,,,,,,,,0
35,799102100000036401,Female,9,African/Black,Yes,Yes,Yes,Yes,No,Yes,Primary or secondary school,7.0,No,,1 to 4 days,,,,,,No,,No,,No,,No,,No,,No,,No,No,No,No,No,No,No,No,VALUE TO COMPUTE,No,No,No,No,No,No,No,VALUE TO COMPUTE,Yes,No,No,No,No,No,No,No,No,No,,No,No,No,No,No,English First Additional Language,Mathematics,0
36,467103780000012101,Female,13,African/Black,Yes,Yes,Yes,Yes,No,Yes,Primary or secondary school,6.0,Yes,Illness   ,1 to 4 days,,,,,,No,,No,,No,,No,,No,,No,,No,No,No,No,No,No,No,No,VALUE TO COMPUTE,Yes,Yes,Yes,No,No,Yes,No,VALUE TO COMPUTE,Yes,No,No,No,No,No,No,No,No,No,,No,No,No,No,No,Mathematical Literacy,Technology,0
37,976102440000014501,Female,16,African/Black,Yes,No,Yes,No,Yes,Yes,Primary or secondary school,7.0,No,,1 to 4 days,,,,,,Yes,2.0,No,,No,,No,,No,,No,,No,No,Yes,No,No,No,No,No,VALUE TO COMPUTE,Yes,Yes,No,No,No,No,No,VALUE TO COMPUTE,Yes,Yes,No,Yes,Yes,No,No,No,No,No,1.0,No,No,No,Yes,No,Geography,Life Orientation,0
38,982100820000009301,Male,6,African/Black,Yes,Yes,Yes,No,Yes,Yes,Primary or secondary school,5.0,No,,0 days,,,,,,No,,No,,No,,No,,No,,No,,No,No,No,No,No,No,No,No,VALUE TO COMPUTE,No,No,No,No,No,No,No,VALUE TO COMPUTE,Yes,No,No,No,Yes,Yes,No,No,No,No,1.0,No,No,No,No,No,English First Additional Language,Mathematics,0
39,271102830000013101,Female,10,African/Black,Yes,No,Yes,No,Yes,Yes,Primary or secondary school,7.0,Yes,"Other, specify",1 to 4 days,,,,,,No,,No,,No,,No,,No,,No,,No,No,No,No,No,No,No,No,VALUE TO COMPUTE,Yes,Yes,No,No,No,Yes,No,VALUE TO COMPUTE,Yes,No,No,Yes,Yes,No,No,No,No,No,1.0,No,No,No,No,No,Mathematics,English First Additional Language,0
40,760110090000002601,Female,10,African/Black,Yes,Yes,Yes,No,Yes,Yes,Primary or secondary school,6.0,Yes,Injury,1 to 4 days,,,,,,No,,No,,No,,No,,No,,No,,No,No,No,No,No,No,No,No,VALUE TO COMPUTE,No,No,No,No,No,Yes,No,VALUE TO COMPUTE,Yes,Yes,No,Yes,No,No,No,No,No,No,,No,No,No,No,No,English First Additional Language,Sesotho Home Language,0
41,168100800000073301,Male,10,Coloured,Yes,Yes,Yes,Yes,No,Yes,Primary or secondary school,7.0,Yes,Illness   ,1 to 4 days,,,,,,No,,No,,No,,No,,No,,No,,No,No,No,No,No,No,No,No,VALUE TO COMPUTE,No,Yes,No,No,No,No,No,VALUE TO COMPUTE,Yes,No,No,Yes,No,No,No,No,No,No,,No,No,No,No,No,Arts & Culture,Mathematics,0
42,962100790000010601,Female,5,African/Black,Yes,Yes,Yes,Yes,No,Yes,"Pre-school (including day care, crèche, pre-primary, ECD centre)",,No,,0 days,,,,,,No,,No,,No,,No,,No,,No,,No,No,No,No,No,No,No,No,VALUE TO COMPUTE,No,No,No,No,No,No,No,VALUE TO COMPUTE,Yes,No,No,No,No,No,No,No,No,No,,No,No,No,No,No,English First Additional Language,Other,0
43,270104020000002201,Female,8,African/Black,Yes,No,Yes,No,Yes,Yes,Primary or secondary school,6.0,No,,0 days,,,,,,No,,No,,No,,No,,No,,No,,No,No,Yes,Yes,No,No,No,No,VALUE TO COMPUTE,No,No,No,No,No,No,No,VALUE TO COMPUTE,Yes,No,No,No,No,No,No,No,No,No,,No,No,No,No,No,IsiXhosa Home Language,English First Additional Language,0
44,199155860000021101,Male,16,White,Yes,Yes,Yes,Yes,No,Yes,Primary or secondary school,6.0,No,,0 days,,,,,,No,,No,,No,,No,,No,,No,,No,No,No,No,No,No,No,No,VALUE TO COMPUTE,No,No,No,No,No,No,No,VALUE TO COMPUTE,Yes,No,No,No,No,No,No,No,No,No,,No,No,No,No,No,Accounting,Mathematics,0
45,982103160000006801,Female,8,African/Black,Yes,Yes,Yes,Yes,Yes,Yes,Primary or secondary school,7.0,No,,1 to 4 days,,,,,,No,,No,,No,,No,,No,,No,,No,No,No,Yes,No,No,No,No,VALUE TO COMPUTE,No,No,No,No,No,No,No,VALUE TO COMPUTE,Yes,No,No,No,No,No,No,No,No,No,,No,No,No,No,No,English First Additional Language,Natural Sciences,0
46,596100560000063701,Male,12,African/Black,Yes,Yes,Yes,Yes,No,Yes,Primary or secondary school,6.0,Yes,School vacation period,10 to 19 days,,,,,,Yes,1.0,Yes,1.0,Yes,1.0,No,,No,,No,,No,No,Yes,Yes,Yes,Yes,Yes,No,VALUE TO COMPUTE,Yes,Yes,Yes,No,Yes,Yes,No,VALUE TO COMPUTE,Yes,Yes,Yes,Yes,No,No,No,No,No,No,,Yes,Yes,Yes,Yes,Yes,IsiXhosa Home Language,English First Additional Language,0
47,960104000000006701,Female,13,African/Black,Yes,Yes,Yes,Yes,No,Yes,Primary or secondary school,6.0,No,,0 days,,,,,,No,,No,,No,,No,,No,,No,,No,No,No,No,No,No,No,No,VALUE TO COMPUTE,No,Yes,No,No,No,Yes,No,VALUE TO COMPUTE,Yes,Yes,No,Yes,Yes,No,No,No,No,No,2.0,No,No,No,No,No,English First Additional Language,Geography,0
48,961103400000034801,Male,12,African/Black,Yes,Yes,Yes,No,No,Yes,Primary or secondary school,6.0,No,,1 to 4 days,,,,,,No,,Yes,2.0,No,,No,,No,,No,,No,No,No,Yes,No,No,No,No,VALUE TO COMPUTE,No,No,No,No,No,Yes,No,VALUE TO COMPUTE,Yes,Yes,No,Yes,Yes,No,No,No,No,No,2.0,No,No,No,No,No,Sepedi Home Language,English First Additional Language,0
49,282103540000017601,Male,17,African/Black,Yes,Yes,No,,No,Yes,Primary or secondary school,7.0,Yes,School vacation period,1 to 4 days,,,,,,No,,Yes,10.0,No,,No,,No,,No,,No,No,No,Yes,No,No,No,No,VALUE TO COMPUTE,Yes,Yes,Yes,No,No,Yes,No,VALUE TO COMPUTE,Yes,Yes,Yes,Yes,No,No,No,No,No,No,,No,No,No,No,No,Mathematics,IsiXhosa Home Language,1
50,277100540000012801,Female,6,African/Black,Yes,Yes,Yes,No,No,Yes,"Pre-school (including day care, crèche, pre-primary, ECD centre)",,No,,1 to 4 days,,,,,,No,,No,,No,,No,,No,,No,,No,No,No,No,No,No,No,No,VALUE TO COMPUTE,No,Yes,Yes,No,No,Yes,No,VALUE TO COMPUTE,Yes,Yes,No,Yes,No,Yes,No,No,No,No,0.0,No,No,No,No,No,Mathematics,Arts & Culture,0
51,982100580000015501,Male,16,White,Yes,Yes,Yes,Yes,Yes,Yes,Primary or secondary school,6.0,No,,1 to 4 days,,,,,,No,,No,,No,,No,,No,,No,,No,No,No,No,No,No,No,No,VALUE TO COMPUTE,No,No,No,No,No,Yes,No,VALUE TO COMPUTE,Yes,Yes,No,Yes,No,No,No,No,No,No,,No,No,No,No,No,Mathematics,Life Sciences,0
52,290102640000005801,Female,14,African/Black,Yes,Yes,No,,No,Yes,Primary or secondary school,6.0,No,,5 to 9 days,,,,,,No,,No,,No,,No,,No,,No,,No,No,No,Yes,Yes,No,No,No,VALUE TO COMPUTE,Yes,Yes,Yes,No,No,Yes,No,VALUE TO COMPUTE,Yes,Yes,No,Yes,No,No,No,No,No,No,,No,No,No,No,No,Life Skills,Mathematics,0
53,798134450000010201,Female,11,African/Black,Yes,Yes,Yes,Yes,No,Yes,Primary or secondary school,6.0,No,,0 days,,,,,,No,,No,,No,,No,,No,,No,,No,No,No,No,No,No,No,No,VALUE TO COMPUTE,No,No,No,No,No,No,No,VALUE TO COMPUTE,Yes,No,No,No,No,No,No,No,No,No,,No,No,No,No,No,Mathematics,English First Additional Language,0
54,962102250000002201,Female,10,African/Black,Yes,Yes,Yes,No,Yes,Yes,Primary or secondary school,7.0,No,,0 days,,,,,,No,,No,,No,,No,,No,,No,,No,No,No,No,No,No,No,No,VALUE TO COMPUTE,No,No,No,No,No,Yes,No,VALUE TO COMPUTE,Yes,Yes,No,Yes,No,No,No,No,No,No,,No,No,No,No,No,Xitsonga Home Language,English First Additional Language,0
55,594101320000019601,Male,11,African/Black,No,,Yes,No,No,Yes,Primary or secondary school,6.0,Yes,Teacher was absent,10 to 19 days,,,,,,No,,No,,No,,No,,No,,No,,No,No,Yes,Yes,Yes,Yes,No,No,VALUE TO COMPUTE,Yes,Yes,Yes,No,No,Yes,No,VALUE TO COMPUTE,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,3.0,Yes,Yes,Yes,Yes,Yes,Life Skills,English First Additional Language,0
56,661103670000011501,Female,9,African/Black,Yes,Yes,Yes,No,No,Yes,Primary or secondary school,6.0,No,,0 days,,,,,,No,,No,,No,,No,,No,,No,,No,No,No,No,No,No,No,No,VALUE TO COMPUTE,No,No,No,No,No,No,No,VALUE TO COMPUTE,Yes,No,No,No,No,No,No,No,No,No,,No,No,No,No,No,English First Additional Language,Mathematical Literacy,0
