UQNO,Geo_Type_Code,Province,Stratum,Metro_code
299114180000001401,Urban,Eastern Cape,23103,EC - Nelson Mandela Bay
464100370000008101,Urban,Free State,40105,FS - Non-metro
526100710000036001,Farms,KwaZulu-Natal,50216,KZN - Non-metro
524105720000010301,Farms,KwaZulu-Natal,50301,KZN - Non-metro
799131050000010201,Urban,Gauteng,78106,GP - City of Tshwane
538102900000044301,Traditional,KwaZulu-Natal,50204,KZN - Non-metro
295102730000003001,Traditional,Eastern Cape,20206,EC - Non-metro
798106040000003101,Urban,Gauteng,77106,GP - City of Johannesburg
378101230000010001,Urban,Northern Cape,30101,NC - Non-metro
472102870000025701,Urban,Free State,40101,FS - Non-metro
764102220000001601,Urban,Gauteng,70108,GP - Non-metro
799112850000001801,Urban,Gauteng,78103,GP - City of Tshwane
260112870000012501,Urban,Eastern Cape,22102,EC - Buffalo City
499107380000018901,Urban,Free State,44102,FS - Mangaung
166102760000025801,Urban,Western Cape,10111,WC - Non-metro
271108510000006201,Traditional,Eastern Cape,20204,EC - Non-metro
797101730000025801,Urban,Gauteng,76102,GP - Ekurhuleni
797137450000011901,Urban,Gauteng,76107,GP - Ekurhuleni
299115290000008201,Urban,Eastern Cape,23103,EC - Nelson Mandela Bay
871100370000001701,Traditional,Mpumalanga,80205,MP - Non-metro
361101260000010501,Traditional,Northern Cape,30201,NC - Non-metro
986100890000010401,Traditional,Limpopo,90210,LP - Non-metro
871100340000004701,Traditional,Mpumalanga,80108,MP - Non-metro
797149470000010501,Urban,Gauteng,76109,GP - Ekurhuleni
987100960000001401,Traditional,Limpopo,90216,LP - Non-metro
797144310000003301,Urban,Gauteng,76106,GP - Ekurhuleni
199125350000013501,Urban,Western Cape,11108,WC - City of Cape Town
588100560000027801,Traditional,KwaZulu-Natal,50214,KZN - Non-metro
677101210000007201,Urban,North West,60107,NW - Non-metro
982105430000013601,Traditional,Limpopo,90215,LP - Non-metro
504100580000008101,Traditional,KwaZulu-Natal,50218,KZN - Non-metro
799140540000005001,Urban,Gauteng,78105,GP - City of Tshwane
797131790000005601,Urban,Gauteng,76101,GP - Ekurhuleni
592103620180001201,Urban,KwaZulu-Natal,50109,KZN - Non-metro
199138610000022101,Urban,Western Cape,11113,WC - City of Cape Town
799102100000036401,Urban,Gauteng,78113,GP - City of Tshwane
467103780000012101,Urban,Free State,40101,FS - Non-metro
976102440000014501,Traditional,Limpopo,90215,LP - Non-metro
982100820000009301,Traditional,Limpopo,90209,LP - Non-metro
271102830000013101,Traditional,Eastern Cape,20220,EC - Non-metro
760110090000002601,Urban,Gauteng,70108,GP - Non-metro
168100800000073301,Urban,Western Cape,10101,WC - Non-metro
962100790000010601,Traditional,Limpopo,90215,LP - Non-metro
270104020000002201,Traditional,Eastern Cape,20216,EC - Non-metro
199155860000021101,Urban,Western Cape,11106,WC - City of Cape Town
982103160000006801,Traditional,Limpopo,90204,LP - Non-metro
596100560000063701,Farms,KwaZulu-Natal,50301,KZN - Non-metro
960104000000006701,Traditional,Limpopo,90208,LP - Non-metro
