ID,UQNO,Q12Gender,Q13Age,Q14Population,Q15Mothaliv,Q16Mothparthh,Q17Fathaliv,Q18Fathparthh,Q19G_Parparthh,Q22Attend,Q23Eduinst,Q24AGE_GR1,Q25Miss_Day,Q26Miss_Rsn,Q27Daysabsent,Q28Everattend,Q29Whynot,Q210Age_Gr1,Q211Ageleft,Q212Whyleft,Q51AFARMWRK_W,Q51ATIME,Q51BFETCHWATER_W,Q51BTIME,Q51CFETCHWOOD_W,Q51CTIME,Q51DPRODHHGDS_W,Q51DTIME,Q51ECONSTRUC_W,Q51ETIME,Q51FCATCHFOOD_W,Q51FTIME,Q52ABEG_LSTW,Q52BBEG_LSTYR,Q53AFARMWRK_Y,Q53BFETCHWATER_Y,Q53CFETCHWOOD_Y,Q53DPRODHHGDS_Y,Q53ECONSTRUC_Y,Q53FCATCHFOOD_Y,Q54TIME,Q71ACOOK,Q71BCLEAN,Q71CLAUNDRY,Q71DCHILDMIND,Q71EMAINTENANCE,Q71FSHOP,Q71GOTHR,Q72TIME,Q73ATTEND,Q741AFTERSCH,Q742BEFORESCH,Q743WEEKEND,Q75ACLEAN,Q75BMAINTENANCE,Q75CGARDEN,Q75DMARK,Q75EHOUSE,Q75FOTHR,Q76TIME,Q77ADIF_CTCHUP,Q77BNOTIME,Q77CCONCENTRATE,Q77DPUNCTUAL,Q77ELEISURE,Q78ASUBCODE,Q78BSUBCODE,Geo_Type_Code,Province,Stratum,Metro_code
12003,478100200000001301,Male,17,African/Black,Yes,Yes,No,,No,Yes,Primary or secondary school,6.0,Yes,"Other, specify",1 to 4 days,,,,,,No,,No,,No,,No,,No,,No,,No,No,No,No,No,No,No,No,,Yes,Yes,No,No,No,Yes,No,2.0,Yes,Yes,No,Yes,Yes,No,No,No,No,No,0.0,No,No,No,No,No,History,Life Sciences,Urban,Free State,40102,FS - Non-metro
12004,874102170000002001,Female,16,African/Black,Yes,No,Yes,Yes,Yes,Yes,Primary or secondary school,6.0,No,,1 to 4 days,,,,,,No,,No,,No,,No,,No,,No,,No,No,No,No,No,No,No,No,,Yes,Yes,Yes,No,No,Yes,No,7.0,Yes,Yes,No,Yes,Yes,No,No,No,No,No,1.0,No,No,No,No,No,Life Sciences,Accounting,Traditional,Mpumalanga,80208,MP - Non-metro
12005,987103540000006101,Female,10,African/Black,Yes,Yes,Yes,Yes,No,Yes,Primary or secondary school,6.0,No,,0 days,,,,,,No,,No,,No,,No,,No,,No,,No,No,No,No,No,No,No,No,,Yes,No,No,No,No,Yes,No,3.0,Yes,No,No,Yes,No,No,No,No,No,No,,No,No,No,No,No,English First Additional Language,Social Sciences,Traditional,Limpopo,90207,LP - Non-metro
12006,294101620000019101,Female,7,African/Black,Yes,Yes,Yes,No,No,Yes,Primary or secondary school,6.0,Yes,Illness   ,1 to 4 days,,,,,,No,,No,,No,,No,,No,,No,,No,No,No,No,No,No,No,No,,No,No,No,No,No,Yes,No,6.0,Yes,Yes,No,Yes,No,No,No,No,No,No,,No,No,No,No,No,IsiXhosa Home Language,English First Additional Language,Traditional,Eastern Cape,20216,EC - Non-metro
12007,677100820000001601,Male,12,African/Black,Yes,Yes,Yes,Yes,No,Yes,Primary or secondary school,6.0,No,,1 to 4 days,,,,,,No,,No,,No,,No,,No,,No,,No,No,No,No,No,No,No,No,,No,Yes,Yes,No,No,Yes,No,5.0,Yes,Yes,No,Yes,No,No,No,No,No,No,,No,No,No,No,No,Dramatic Arts,English First Additional Language,Urban,North West,60108,NW - Non-metro
12008,864101370000016101,Female,6,African/Black,Yes,Yes,Yes,Yes,No,Yes,Primary or secondary school,6.0,No,,1 to 4 days,,,,,,No,,No,,No,,No,,No,,No,,No,No,No,No,No,No,No,No,,No,No,No,No,No,No,No,,Yes,No,No,No,No,No,No,No,No,No,,No,No,No,No,No,Arts & Culture,Arts & Culture,Urban,Mpumalanga,80110,MP - Non-metro
12009,282103420000035301,Male,16,African/Black,Yes,No,Do not know,,No,Yes,Primary or secondary school,6.0,No,,1 to 4 days,,,,,,No,,No,,No,,No,,No,,No,,No,No,No,No,No,No,No,No,,Yes,Yes,Yes,No,Yes,Yes,No,10.0,Yes,Yes,No,Yes,No,No,Yes,No,No,No,1.0,No,No,No,No,No,Accounting,Economics,Urban,Eastern Cape,20101,EC - Non-metro
12010,570101430000011301,Female,8,African/Black,Yes,Yes,Yes,No,Yes,Yes,Primary or secondary school,6.0,No,,1 to 4 days,,,,,,No,,No,,No,,No,,No,,No,,No,No,No,No,No,No,No,No,,No,Yes,Yes,No,No,No,No,8.0,Yes,Yes,No,Yes,No,No,No,No,No,No,,No,No,No,No,No,Mathematics,English First Additional Language,Farms,KwaZulu-Natal,50301,KZN - Non-metro
12011,598102620000002801,Male,13,African/Black,Yes,Yes,Yes,Yes,No,Yes,Primary or secondary school,6.0,No,,1 to 4 days,,,,,,Yes,10.0,Yes,2.0,No,,No,,No,,No,,No,No,Yes,Yes,Yes,No,No,No,12.0,Yes,Yes,No,Yes,No,Yes,No,3.0,Yes,Yes,No,Yes,Yes,No,No,No,No,No,1.0,No,Yes,Yes,Yes,No,Mathematics,Life Orientation,Farms,KwaZulu-Natal,50217,KZN - Non-metro
12012,294100500000020701,Female,15,African/Black,Yes,Yes,Yes,No,Yes,Yes,Primary or secondary school,6.0,No,,1 to 4 days,,,,,,Yes,4.0,Yes,6.0,Yes,4.0,No,,No,,No,,No,No,Yes,Yes,Yes,No,No,No,28.0,Yes,Yes,Yes,Yes,No,Yes,Yes,10.0,Yes,Yes,No,Yes,No,No,No,No,No,No,,No,No,No,No,No,English First Additional Language,Life Sciences,Traditional,Eastern Cape,20206,EC - Non-metro
